welc_resp.keys,welc_resp.rt,instr0_resp.keys,instr0_resp.rt,prep_resp.keys,prep_resp.corr,prep_resp.rt,preparation.thisRepN,preparation.thisTrialN,preparation.thisN,preparation.thisIndex,preparation.ran,preparation.order,letter10,letter20,corrAns0,participant,,date,expName,psychopyVersion,frameRate,outro_resp.keys,outro_resp.rt,instr1_resp.keys,instr1_resp.rt,resp.keys,resp.corr,resp.rt,letterMaster.thisRepN,letterMaster.thisTrialN,letterMaster.thisN,letterMaster.thisIndex,letterMaster.ran,letterMaster.order,letterset,letterset2,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,practice.order,letter1,letter2,corrAns,letterA,letterC,letterE,instr2_resp.keys,instr2_resp.rt,instr3_resp.keys,instr3_resp.rt,test_resp.keys,test_resp.rt,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,test.order,letter3,letter4,letterA2,letterB2,pickA,avoidB,outro_resp2.keys,outro_resp2.rt
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,0,0.361,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,10,1,179,h,G,c,,c,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,0,0.378,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,28,1,179,S,j,c,,,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,0,0.395,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,26,1,179,j,S,m,,,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,1,0.363,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,25,1,179,S,j,m,,,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,1,0.379,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,5,1,179,B,Q,m,m,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,1,0.412,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,3,1,179,Q,B,c,c,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,1,0.363,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,6,1,179,B,Q,m,m,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,0,0.397,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,17,1,179,G,h,c,,m,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,0,0.364,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,18,1,179,G,h,c,,m,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,1,0.412,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,4,1,179,B,Q,m,m,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,1,0.362,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,14,1,179,G,h,m,,m,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,1,0.412,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,20,1,179,j,S,c,,,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,0,0.429,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,19,1,179,h,G,m,,c,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,1,0.413,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,0,1,179,Q,B,c,c,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,1,0.363,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,16,1,179,G,h,m,,m,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,0,0.414,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,21,1,179,j,S,c,,,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,0,0.38,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,27,1,179,j,S,m,,,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,0,0.447,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,8,1,179,Q,B,m,c,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,1,0.365,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,15,1,179,G,h,m,,m,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,1,0.331,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,11,1,179,h,G,c,,c,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,1,0.48,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,24,1,179,S,j,m,,,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,1,0.365,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,22,1,179,j,S,c,,,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,0,0.413,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,26,1,179,j,S,m,,,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,0,0.396,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,8,1,179,Q,B,m,c,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,1,0.347,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,23,1,179,S,j,m,,,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,1,0.364,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,12,1,179,h,G,c,,c,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,0,0.381,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,27,1,179,j,S,m,,,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,1,0.363,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,1,1,179,Q,B,c,c,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,1,0.379,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,3,1,179,Q,B,c,c,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,1,0.362,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,2,1,179,Q,B,c,c,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,1,0.398,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,14,1,179,G,h,m,,m,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,0,0.348,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,29,1,179,S,j,c,,,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,1,0.314,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,15,1,179,G,h,m,,m,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,1,0.396,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,5,1,179,B,Q,m,m,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,1,0.363,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,22,1,179,j,S,c,,,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,1,0.295,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,10,1,179,h,G,c,,c,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,1,0.397,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,25,1,179,S,j,m,,,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,1,0.379,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,11,1,179,h,G,c,,c,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,0,0.379,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,28,1,179,S,j,c,,,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,1,0.394,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,4,1,179,B,Q,m,m,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,0,0.429,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,9,1,179,B,Q,c,m,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,0,0.346,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,19,1,179,h,G,m,,c,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,1,0.429,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,21,1,179,j,S,c,,,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,1,0.396,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,0,1,179,Q,B,c,c,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,1,0.464,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,6,1,179,B,Q,m,m,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,1,0.381,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,20,1,179,j,S,c,,,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,0,0.347,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,17,1,179,G,h,c,,m,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,1,0.413,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,13,1,179,h,G,c,,c,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,1,0.38,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,7,1,179,B,Q,m,m,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,0,0.446,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,24,1,179,S,j,m,,,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,1,0.38,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,16,1,179,G,h,m,,m,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,0,0.364,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,18,1,179,G,h,c,,m,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,1,0.363,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,16,1,179,G,h,m,,m,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,1,0.345,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,14,1,179,G,h,m,,m,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,1,0.462,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,7,1,179,B,Q,m,m,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,1,0.414,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,12,1,179,h,G,c,,c,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,1,0.362,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,13,1,179,h,G,c,,c,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,1,0.364,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,4,1,179,B,Q,m,m,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,1,0.464,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,22,1,179,j,S,c,,,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,1,0.411,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,11,1,179,h,G,c,,c,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,0,0.393,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,28,1,179,S,j,c,,,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,0,0.38,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,26,1,179,j,S,m,,,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,1,0.412,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,0,1,179,Q,B,c,c,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,1,0.396,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,15,1,179,G,h,m,,m,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,0,0.413,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,29,1,179,S,j,c,,,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,1,0.365,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,21,1,179,j,S,c,,,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,0,0.412,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,19,1,179,h,G,m,,c,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,1,0.364,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,5,1,179,B,Q,m,m,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,1,0.362,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,2,1,179,Q,B,c,c,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,0,0.312,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,18,1,179,G,h,c,,m,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,0,0.348,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,17,1,179,G,h,c,,m,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,0,0.397,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,25,1,179,S,j,m,,,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,1,0.33,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,24,1,179,S,j,m,,,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,0,0.414,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,9,1,179,B,Q,c,m,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,1,0.364,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,1,1,179,Q,B,c,c,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,0,0.431,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,27,1,179,j,S,m,,,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,1,0.363,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,20,1,179,j,S,c,,,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,1,0.396,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,6,1,179,B,Q,m,m,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,0,0.38,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,8,1,179,Q,B,m,c,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,1,0.33,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,23,1,179,S,j,m,,,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,1,0.362,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,3,1,179,Q,B,c,c,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,1,0.38,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,10,1,179,h,G,c,,c,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,0,0.346,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,18,1,179,G,h,c,,m,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,1,0.48,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,7,1,179,B,Q,m,m,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,1,0.395,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,14,1,179,G,h,m,,m,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,1,0.578,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,10,1,179,h,G,c,,c,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,1,0.479,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,3,1,179,Q,B,c,c,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,0,0.531,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,28,1,179,S,j,c,,,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,1,0.546,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,0,1,179,Q,B,c,c,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,1,0.414,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,6,1,179,B,Q,m,m,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,1,0.396,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,20,1,179,j,S,c,,,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,0,0.398,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,17,1,179,G,h,c,,m,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,1,0.363,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,25,1,179,S,j,m,,,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,0,0.38,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,9,1,179,B,Q,c,m,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,1,0.446,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,15,1,179,G,h,m,,m,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,0,0.346,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,26,1,179,j,S,m,,,c,,,,,,,,,,,,,,,,,,,,
